DrugName,ActiveIngredient,PageNumber,Category
Tibon Weekly Tablets,Alendronat natri,157,Chất ức chế tiêu xương
Tibucef,Cefotiam hydroclorid,360,Kháng sinh loại cephalosporin
Ticarcilin VCP,Ticarcilin,1376,Thuốc kháng sinh; penicilin bán tổng hợp
Ticarcillin,Ticarcilin,1376,Thuốc kháng sinh; penicilin bán tổng hợp
Ticevis,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Ticlopidine,Ticlopidin,1378,Thuốc kháng tiểu cầu (ức chế ngưng tập tiểu cầu)
Tetracaine,Tetracain,1346,Gây tê
Tetracosactide,Tetracosactid,1347,Gây tê
Tetracycline,Tetracyclin,1349,Kháng sinh
Teva Fluticason,Fluticason propionat,691,"Thuốc chống ung thư, nhóm kháng androgen"
Tevaformin,Metformin,955,Thuốc giải độc
Tevagrel,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Tevalis,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Tevanolol,Atenolol,219,Chất hấp phụ chống ỉa chảy
Tevaprolol,Bisoprolol,264,Thuốc chẹn beta1 adrenergic chọn lọc (chẹn chọn lọc
Tevatadin,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Tevatrizine,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Tevaxone,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Tevir 300,Tenofovir,1335,Thuốc kháng retrovirus
Tevoral Tab.,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Texofen-60,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Texroxil 250,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Texroxil 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
T,Fexim - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
T,Fexim 100 - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
T,Fexim 200 - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Thalidomide,Thalidomid,1353,Thuốc điều hòa miễn dịch
Thalix-100,Thalidomid,1353,Thuốc điều hòa miễn dịch
Thalix-50,Thalidomid,1353,Thuốc điều hòa miễn dịch
Thebymon,Paracetamol,1118,Giảm đau; hạ sốt
Thecetam,Piracetam,1159,Thuốc trị giun
Thegalin,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thekacin,Amikacin,176,Kháng sinh họ aminoglycosid
Thekati,Xylometazolin,1488,"Chống sung huyết, chống ngạt mũi"
Thekyflox,Ofloxacin,1076,Kháng sinh nhóm quinolon
Thelargen,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thelergil,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thelizin,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thémaxtene,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Themogene,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thenadin,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thendacin,Clindamycin,407,Kháng sinh họ lincosamid
Theophylin 200,Theophylin,1358,Thuốc giãn phế quản
Theophylline,Theophylin,1358,Thuốc giãn phế quản
Thepharm,Chymotrypsin,382,Enzym thủy phân protein (trợ giúp phẫu thuật)
Theralene,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Theratussine,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Thermodol,Paracetamol,1118,Giảm đau; hạ sốt
Therykid,Erythromycin,607,Kháng sinh nhóm macrolid
Thetocin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Thexamix,Acid tranexamic,139,Thuốc chống tiêu fibrin
Thezyung,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Thiajects 100,Thiamin,1363,Vitamin
Thiamazole,Thiamazol,1361,"Thuốc kháng giáp, dẫn chất thioimidazol"
Thiamin B1,Thiamin,1363,Vitamin
Thiazifar,Hydroclorothiazid,777,Thuốc lợi tiểu thuộc nhóm thiazid
Thioguanine,Thioguanin,1366,Thuốc mê đường tĩnh mạch
Thiopental Injection BP,Thiopental,1366,Thuốc mê đường tĩnh mạch
Thiopental Sodium for Injection BP,Thiopental,1366,Thuốc mê đường tĩnh mạch
Thioridazine,Thioridazin,1367,Thuốc mê đường tĩnh mạch
Thiorizil,Thiopental,1366,Thuốc mê đường tĩnh mạch
Thromax,Azithromycin,227,Thuốc kháng sinh
Thrombid,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Thromiz-500,Azithromycin,227,Thuốc kháng sinh
Throxi Tab.,Roxithromycin,1260,Kháng sinh nhóm macrolid
Thuốc phiện,opiat - opioid,1371,Kháng acid (cả 4 chất); nhuận tràng (trừ magnesi trisilicat)
Thycar,Carbimazol,323,"Thuốc kháng giáp, dẫn chất thioimidazol"
Thylmedi,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Thylnisone,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Thyos cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Thyrostad 100,Levothyroxin,900,Hormon tuyến giáp
Thyrostad 50,Levothyroxin,900,Hormon tuyến giáp
Thyrozol,Thiamazol,1361,"Thuốc kháng giáp, dẫn chất thioimidazol"
Tiafo,Cefotiam hydroclorid,360,Kháng sinh loại cephalosporin
Tiamcefo,Cefotiam hydroclorid,360,Kháng sinh loại cephalosporin
Tiamoxicilin 250,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Tibon Weekly Tablets,Alendronat natri,157,Chất ức chế tiêu xương
Tibucef,Cefotiam hydroclorid,360,Kháng sinh loại cephalosporin
Ticarcilin VCP,Ticarcilin,1376,Thuốc kháng sinh; penicilin bán tổng hợp
Ticarcillin,Ticarcilin,1376,Thuốc kháng sinh; penicilin bán tổng hợp
Ticevis,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Ticlopidine,Ticlopidin,1378,Thuốc kháng tiểu cầu (ức chế ngưng tập tiểu cầu)
Ticpidtab,Ticlopidin,1378,Thuốc kháng tiểu cầu (ức chế ngưng tập tiểu cầu)
Tidomet forte,Carbidopa - levodopa,320,Thuốc chống bệnh parkinson; thuốc chống loạn động
Tienam,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Tifaxcin,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Tifaxcin,100 DT - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Tifaxcin 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Tigercef,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Tigeron,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Tilatep,Teicoplanin,1326,Kháng sinh glycopeptid
Tilcotil,Tenoxicam,1336,Thuốc chống viêm không steroid
Tildiem,Diltiazem,533,Thuốc diệt amip/chống nguyên sinh động vật
Tilfur,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tilfur 180,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tilfur 60,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tilfur120,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tilhasan 60,Diltiazem,533,Thuốc diệt amip/chống nguyên sinh động vật
Tilhazem 60,Diltiazem,533,Thuốc diệt amip/chống nguyên sinh động vật
Tiloxen 5,Flunarizin,678,Thuốc chẹn kênh calci
Timestic,Diosmectit,541,Thuốc hấp phụ và làm săn niêm mạc đường tiêu hóa
Timetac 400,Cimetidin,389,"Thuốc ức chế kết tập tiểu cầu và giãn mạch, thuốc ức"
Timifan,Ofloxacin,1076,Kháng sinh nhóm quinolon
Timivudin,Lamivudin,876,Thuốc kháng retrovirus và virus
Timizet 40,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Timizet 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Timmak,Dihydroergotamin,530,Chống đau nửa đầu/hủy giao cảm alpha (alpha-
Timoeye,Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Timoférol,Sắt (II) sulfat,1271,Muối sắt vô cơ
Timol Neo,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Timolol (eye drops),Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Timolol Chauvin,Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Timolol Maleate,Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Timolol-E,Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinadro,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tinaflam,Diclofenac,515,Thuốc chống viêm không steroid
Tincocam,Tenoxicam,1336,Thuốc chống viêm không steroid
Tiniba 500,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinibulk,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinidazol HT,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinidazol Kabi,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinidazol NDP,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinidazole,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinisyn,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tinropen,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Tioconazole,Tioconazol,1386,Thuốc chống nấm (tại chỗ)
Tiopame Inj.,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Tiotic,Natri clorid,1030,Cung cấp chất điện giải
Tiotrazole,Tioconazol,1386,Thuốc chống nấm (tại chỗ)
Tiotropium bromide,Tiotropium bromid,1388,"Thuốc kháng muscarinic, làm giãn phế quản tác dụng"
Tiphacetam,Piracetam,1159,Thuốc trị giun
Tiphacetam 400,Piracetam,1159,Thuốc trị giun
Tiphacipro 500,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Tiphadeltacil,Dexamethason,500,Glucocorticoid
Tiphadol 325,Paracetamol,1118,Giảm đau; hạ sốt
Tiphadol 500,Paracetamol,1118,Giảm đau; hạ sốt
Tiphadol 650,Paracetamol,1118,Giảm đau; hạ sốt
Tiphadol 80,Paracetamol,1118,Giảm đau; hạ sốt
Tiphafast,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tiphallerdin,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Tipharel,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Tipharmlor,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Tiphenesin,Mephenesin,944,Thuốc giãn cơ và giảm đau
Tirastam 250,Levetiracetam,887,Thuốc điều trị động kinh
Tirastam 500,Levetiracetam,887,Thuốc điều trị động kinh
Tirastam 750,Levetiracetam,887,Thuốc điều trị động kinh
Tirazin,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Tirizex 10,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Tirizex 5,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Tirotax,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Tirozet,Metformin,955,Thuốc giải độc
Tisartan,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Tisartan 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Tisercin,Levomepromazin,893,"Thuốc chống loạn thần, giảm đau không gây nghiện,"
Tixeparin,Heparin,767,Chống đông máu
Tixocortol pivalate,Tixocortol pivalat,1389,"Thuốc kháng muscarinic, làm giãn phế quản tác dụng"
Tizacure 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Tizacure 150,Lamivudin,876,Thuốc kháng retrovirus và virus
Tizalon 2,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Tizalon 4,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Tizanad,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Tizanidine hydrochloride,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Tizarex,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Tizoxim 50,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Tizoxim-100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Tizoxim-200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
TK-Alphachymotrypsine,Chymotrypsin,382,Enzym thủy phân protein (trợ giúp phẫu thuật)
T-Lophe,Clorpheniramin,445,"Thuốc kháng histamin, thế hệ thứ nhất"
T3 Mycin,Clindamycin,407,Kháng sinh họ lincosamid
Tobacin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobaject,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Tobaso,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobcimax,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobcol,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobitil,Tenoxicam,1336,Thuốc chống viêm không steroid
Tobpit,Azithromycin,227,Thuốc kháng sinh
Tobrabac,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobracol,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobradico,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrafar,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobralcin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobralyr,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramicina IBI,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramycin Actavis,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramycin stada,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobraneg,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobroxine,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tocetam 100,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Tocetam 200,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Tocimat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tocinpro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Tocopin,Teicoplanin,1326,Kháng sinh glycopeptid
Todencine,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Toeyecin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tofdim Inj.,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Tofluxine,Dextromethorphan,508,Giảm ho khan
Toganin,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Tolbutamide,Tolbutamid,1398,"Thuốc uống chống đái tháo đường loại sulfonylurê,"
Tolmasa,Clotrimazol,452,"Thuốc chống nấm tại chỗ, phổ rộng"
Tomethrol,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Tono Cefal-250,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Top,Pirex - Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Topamtex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Topcef,100 DT - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Topcef,200 - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Topclar 500,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Topenti 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Topenti 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Topflam,Diclofenac,515,Thuốc chống viêm không steroid
Topifix,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Topium Nasal Spray,Ipratropium bromid,833,"Vì vậy, không trộn thuốc"
Topoxime,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Topsea 500,Paracetamol,1118,Giảm đau; hạ sốt
Topsil cough,Dextromethorphan,508,Giảm ho khan
Toptrixone Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Toptropin,Piracetam,1159,Thuốc trị giun
Toraass 25,Losartan,927,Chất đối kháng thụ thể at
Toraass 50,Losartan,927,Chất đối kháng thụ thể at
Torafix-100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Toranax 0.25,Alprazolam,167,"Chống lo âu, chống hoảng sợ"
Toravell,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
Tordol,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Torfast 120,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Torfexim-200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Toricam,Piroxicam,1160,Thuốc chống viêm không steroid (nsaid)
Torlaxime,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Torleva 250,Levetiracetam,887,Thuốc điều trị động kinh
Torleva 500,Levetiracetam,887,Thuốc điều trị động kinh
Torleva 1000,Levetiracetam,887,Thuốc điều trị động kinh
Tornex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Torocef-1,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Torodroxyl,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torodroxyl 250 DT,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torodroxyl 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torolan 5,Olanzapin,1077,Kháng sinh nhóm quinolon
Torpace-2.5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Torpace-5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Toruxin,Piracetam,1159,Thuốc trị giun
Toruxin-800,Piracetam,1159,Thuốc trị giun
Tosuy,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Tottizim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Tovalgan,150 - Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef 150,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef 80,Paracetamol,1118,Giảm đau; hạ sốt
Tovecor,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Toversin,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Tovix,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Toxaxine Inj,Acid tranexamic,139,Thuốc chống tiêu fibrin
Tozef 250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tozep,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tpenatec,Enalapril,582,"Thuốc chống tăng huyết áp, nhóm ức chế enzym"
Trabiotin,Biotin,259,Thuốc chống rối loạn lipid huyết (nhóm fibrat)
Tracemic,Atenolol,219,Chất hấp phụ chống ỉa chảy
Traclor 125,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Traclor 375,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Tracrium,Atracurium besylat,221,Thuốc phong bế thần kinh - cơ không khử cực
Trafedin,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
Tobitil,Tenoxicam,1336,Thuốc chống viêm không steroid
Tobpit,Azithromycin,227,Thuốc kháng sinh
Tobrabac,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobracol,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobradico,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrafar,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobralcin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobralyr,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramicina IBI,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramycin Actavis,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobramycin stada,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobraneg,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobrin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tobroxine,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tocetam 100,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Tocetam 200,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Tocimat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Tocinpro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Tocopin,Teicoplanin,1326,Kháng sinh glycopeptid
Todencine,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Toeyecin,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Tofdim Inj.,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Tofluxine,Dextromethorphan,508,Giảm ho khan
Toganin,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Tolbutamide,Tolbutamid,1398,"Thuốc uống chống đái tháo đường loại sulfonylurê,"
Tolmasa,Clotrimazol,452,"Thuốc chống nấm tại chỗ, phổ rộng"
Tomethrol,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Tono Cefal-250,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Top,Pirex - Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Topamtex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Topcef,100 DT - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Topcef,200 - Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Topclar 500,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Topenti 20,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Topenti 40,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Topflam,Diclofenac,515,Thuốc chống viêm không steroid
Topifix,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Topium Nasal Spray,Ipratropium bromid,833,"Vì vậy, không trộn thuốc"
Topoxime,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Topsea 500,Paracetamol,1118,Giảm đau; hạ sốt
Topsil cough,Dextromethorphan,508,Giảm ho khan
Toptrixone Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Toptropin,Piracetam,1159,Thuốc trị giun
Toraass 25,Losartan,927,Chất đối kháng thụ thể at
Toraass 50,Losartan,927,Chất đối kháng thụ thể at
Torafix-100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Toranax 0.25,Alprazolam,167,"Chống lo âu, chống hoảng sợ"
Toravell,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
Tordol,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Torfast 120,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Torfexim-200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Toricam,Piroxicam,1160,Thuốc chống viêm không steroid (nsaid)
Torlaxime,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Torleva 250,Levetiracetam,887,Thuốc điều trị động kinh
Torleva 500,Levetiracetam,887,Thuốc điều trị động kinh
Torleva 1000,Levetiracetam,887,Thuốc điều trị động kinh
Tornex,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Torocef-1,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Torodroxyl,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torodroxyl 250 DT,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torodroxyl 500,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Torolan 5,Olanzapin,1077,Kháng sinh nhóm quinolon
Torpace-2.5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Torpace-5,Ramipril,1230,Thuốc ức chế enzym chuyển angiotensin
Toruxin,Piracetam,1159,Thuốc trị giun
Toruxin-800,Piracetam,1159,Thuốc trị giun
Tosuy,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Tottizim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Tovalgan,150 - Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef 150,Paracetamol,1118,Giảm đau; hạ sốt
Tovalgan Ef 80,Paracetamol,1118,Giảm đau; hạ sốt
Tovecor,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Toversin,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Tovix,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Toxaxine Inj,Acid tranexamic,139,Thuốc chống tiêu fibrin
Tozef 250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tozep,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tpenatec,Enalapril,582,"Thuốc chống tăng huyết áp, nhóm ức chế enzym"
Trabiotin,Biotin,259,Thuốc chống rối loạn lipid huyết (nhóm fibrat)
Tracemic,Atenolol,219,Chất hấp phụ chống ỉa chảy
Traclor 125,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Traclor 375,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Tracrium,Atracurium besylat,221,Thuốc phong bế thần kinh - cơ không khử cực
Trafedin,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
Traflocin,Ofloxacin,1076,Kháng sinh nhóm quinolon
Traforan,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Trafuxim,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Tramacap,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
Tramadol,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
Tramadol Capsules BP,Tramadol hydroclorid,1400,Thuốc giảm đau tổng hợp nhóm opioid
