DrugName,ActiveIngredient,PageNumber
Timetac 400,Cimetidin,389
Timifan,Ofloxacin,1076
Timivudin,Lamivudin,876
Timizet 40,Telmisartan,1328
Timizet 80,Telmisartan,1328
Timmak,Dihydroergotamin,530
Timoeye,Timolol (thuốc nhỏ mắt),1382
Timoférol,Sắt (II) sulfat,1271
Timol Neo,Amlodipin,187
Timolol (eye drops),Timolol (thuốc nhỏ mắt),1382
Timolol Chauvin,Timolol (thuốc nhỏ mắt),1382
Timolol Maleate,Timolol (thuốc nhỏ mắt),1382
Timolol-E,Timolol (thuốc nhỏ mắt),1382
Tinadro,Cefuroxim,375
Tinaflam,Diclofenac,515
Tincocam,Tenoxicam,1336
Tiniba 500,Tinidazol,1383
Tinibulk,Tinidazol,1383
Tinidazol HT,Tinidazol,1383
Tinidazol Kabi,Tinidazol,1383
Tinidazol NDP,Tinidazol,1383
Tinidazole,Tinidazol,1383
Tinisyn,Tinidazol,1383
Tinropen,Meropenem,950
Tioconazole,Tioconazol,1386
Tiopame Inj.,Imipenem và thuốc ức chế enzym,800
Tiotic,Natri clorid,1030
Tiotrazole,Tioconazol,1386
Tiotropium bromide,Tiotropium bromid,1388
Tiphacetam,Piracetam,1159
Tiphacetam 400,Piracetam,1159
Tiphacipro 500,Ciprofloxacin,394
Tiphadeltacil,Dexamethason,500
Tiphadol 325,Paracetamol,1118
Tiphadol 500,Paracetamol,1118
Tiphadol 650,Paracetamol,1118
Tiphadol 80,Paracetamol,1118
Tiphafast,Fexofenadin hydroclorid,657
Tiphallerdin,Loratadin,923
Tipharel,Trimetazidin,1412
Tipharmlor,Amlodipin,187
Tiphenesin,Mephenesin,944
Tirastam 250,Levetiracetam,887
Tirastam 500,Levetiracetam,887
Tirastam 750,Levetiracetam,887
Tirazin,Tinidazol,1383
Tirizex 10,Cetirizin hydroclorid,381
Tirizex 5,Cetirizin hydroclorid,381
Tirotax,Cefotaxim,357
Tirozet,Metformin,955
Tisartan,Telmisartan,1328
Tisartan 80,Telmisartan,1328
Tisercin,Levomepromazin,893
Tixeparin,Heparin,767
Tixocortol pivalate,Tixocortol pivalat,1389
Tizacure 100,Lamivudin,876
Tizacure 150,Lamivudin,876
Tizalon 2,Tizanidin hydroclorid,1390
Tizalon 4,Tizanidin hydroclorid,1390
Tizanad,Tizanidin hydroclorid,1390
Tizanidine hydrochloride,Tizanidin hydroclorid,1390
Tizarex,Tizanidin hydroclorid,1390
Tizoxim 50,Cefpodoxim proxetil,363
Tizoxim-100,Cefpodoxim proxetil,363
Tizoxim-200,Cefpodoxim proxetil,363
TK-Alphachymotrypsine,Chymotrypsin,382
T-Lophe,Clorpheniramin,445
T3 Mycin,Clindamycin,407
Tobacin,Tobramycin,1392
Tobaject,Erythropoietin,611
Tobaso,Tobramycin,1392
Tobcimax,Tobramycin,1392
Tobcol,Tobramycin,1392
Tobitil,Tenoxicam,1336
Tobpit,Azithromycin,227
Tobrabac,Tobramycin,1392
Tobracol,Tobramycin,1392
Tobradico,Tobramycin,1392
Tobrafar,Tobramycin,1392
Tobralcin,Tobramycin,1392
Tobralyr,Tobramycin,1392
Tobramicina IBI,Tobramycin,1392
Tobramin,Tobramycin,1392
Tobramycin Actavis,Tobramycin,1392
Tobramycin stada,Tobramycin,1392
Tobraneg,Tobramycin,1392
Tobrex,Tobramycin,1392
Tobrin,Tobramycin,1392
Tobroxine,Tobramycin,1392
Tocetam 100,Celecoxib,379
Tocetam 200,Celecoxib,379
Tocimat,Fexofenadin hydroclorid,657
Tocinpro,Ciprofloxacin,394
Tocopin,Teicoplanin,1326
Todencine,Tobramycin,1392
Toeyecin,Tobramycin,1392
Tofdim Inj.,Ceftazidim,368
Tofluxine,Dextromethorphan,508
Toganin,Arginin,205
Tolbutamide,Tolbutamid,1398
Tolmasa,Clotrimazol,452
Tomethrol,Methylprednisolon,969
Tono Cefal-250,Cefaclor,329
Top,Pirex - Tobramycin,1392
Topamtex,Tobramycin,1392
Topcef,100 DT - Cefixim,351
Topcef,200 - Cefixim,351
Topclar 500,Clarithromycin,404
Topenti 20,Esomeprazol,619
Topenti 40,Esomeprazol,619
Topflam,Diclofenac,515
Topifix,Gemfibrozil,718
Topium Nasal Spray,Ipratropium bromid,833
Topoxime,Cefuroxim,375
Topsea 500,Paracetamol,1118
Topsil cough,Dextromethorphan,508
Toptrixone Inj,Ceftriaxon,371
Toptropin,Piracetam,1159
Toraass 25,Losartan,927
Toraass 50,Losartan,927
Torafix-100,Cefixim,351
Toranax 0.25,Alprazolam,167
Toravell,Tramadol hydroclorid,1400
Tordol,Moxifloxacin hydroclorid,1011
Torfast 120,Fexofenadin hydroclorid,657
Torfexim-200,Cefixim,351
Toricam,Piroxicam,1160
Torlaxime,Cefotaxim,357
Torleva 250,Levetiracetam,887
Torleva 500,Levetiracetam,887
Torleva 1000,Levetiracetam,887
Tornex,Tobramycin,1392
Torocef-1,Ceftriaxon,371
Torodroxyl,Cefadroxil,332
Torodroxyl 250 DT,Cefadroxil,332
Torodroxyl 500,Cefadroxil,332
Torolan 5,Olanzapin,1077
Torpace-2.5,Ramipril,1230
Torpace-5,Ramipril,1230
Toruxin,Piracetam,1159
Toruxin-800,Piracetam,1159
Tosuy,Omeprazol,1080
Tottizim,Ceftazidim,368
Tovalgan,150 - Paracetamol,1118
Tovalgan,Paracetamol,1118
Tovalgan Ef,Paracetamol,1118
Tovalgan Ef 150,Paracetamol,1118
Tovalgan Ef 80,Paracetamol,1118
Tovecor,Perindopril,1131
Toversin,Perindopril,1131
Tovix,Tobramycin,1392
Toxaxine Inj,Acid tranexamic,139
Tozef 250,Cefuroxim,375
Tozep,Cefuroxim,375
Tpenatec,Enalapril,582
Trabiotin,Biotin,259
Tracemic,Atenolol,219
Traclor 125,Cefaclor,329
Traclor 375,Cefaclor,329
Tracrium,Atracurium besylat,221
Trafedin,Nifedipin,1056
Tobitil,Tenoxicam,1336
Tobpit,Azithromycin,227
Tobrabac,Tobramycin,1392
Tobracol,Tobramycin,1392
Tobradico,Tobramycin,1392
Tobrafar,Tobramycin,1392
Tobralcin,Tobramycin,1392
Tobralyr,Tobramycin,1392
Tobramicina IBI,Tobramycin,1392
Tobramin,Tobramycin,1392
Tobramycin Actavis,Tobramycin,1392
Tobramycin stada,Tobramycin,1392
Tobraneg,Tobramycin,1392
Tobrex,Tobramycin,1392
Tobrin,Tobramycin,1392
Tobroxine,Tobramycin,1392
Tocetam 100,Celecoxib,379
Tocetam 200,Celecoxib,379
Tocimat,Fexofenadin hydroclorid,657
Tocinpro,Ciprofloxacin,394
Tocopin,Teicoplanin,1326
Todencine,Tobramycin,1392
Toeyecin,Tobramycin,1392
Tofdim Inj.,Ceftazidim,368
Tofluxine,Dextromethorphan,508
Toganin,Arginin,205
Tolbutamide,Tolbutamid,1398
Tolmasa,Clotrimazol,452
Tomethrol,Methylprednisolon,969
Tono Cefal-250,Cefaclor,329
Top,Pirex - Tobramycin,1392
Topamtex,Tobramycin,1392
Topcef,100 DT - Cefixim,351
Topcef,200 - Cefixim,351
Topclar 500,Clarithromycin,404
Topenti 20,Esomeprazol,619
Topenti 40,Esomeprazol,619
Topflam,Diclofenac,515
Topifix,Gemfibrozil,718
Topium Nasal Spray,Ipratropium bromid,833
Topoxime,Cefuroxim,375
Topsea 500,Paracetamol,1118
Topsil cough,Dextromethorphan,508
Toptrixone Inj,Ceftriaxon,371
Toptropin,Piracetam,1159
Toraass 25,Losartan,927
Toraass 50,Losartan,927
Torafix-100,Cefixim,351
Toranax 0.25,Alprazolam,167
Toravell,Tramadol hydroclorid,1400
Tordol,Moxifloxacin hydroclorid,1011
Torfast 120,Fexofenadin hydroclorid,657
Torfexim-200,Cefixim,351
Toricam,Piroxicam,1160
Torlaxime,Cefotaxim,357
Torleva 250,Levetiracetam,887
Torleva 500,Levetiracetam,887
Torleva 1000,Levetiracetam,887
Tornex,Tobramycin,1392
Torocef-1,Ceftriaxon,371
Torodroxyl,Cefadroxil,332
Torodroxyl 250 DT,Cefadroxil,332
Torodroxyl 500,Cefadroxil,332
Torolan 5,Olanzapin,1077
Torpace-2.5,Ramipril,1230
Torpace-5,Ramipril,1230
Toruxin,Piracetam,1159
Toruxin-800,Piracetam,1159
Tosuy,Omeprazol,1080
Tottizim,Ceftazidim,368
Tovalgan,150 - Paracetamol,1118
Tovalgan,Paracetamol,1118
Tovalgan Ef,Paracetamol,1118
Tovalgan Ef 150,Paracetamol,1118
Tovalgan Ef 80,Paracetamol,1118
Tovecor,Perindopril,1131
Toversin,Perindopril,1131
Tovix,Tobramycin,1392
Toxaxine Inj,Acid tranexamic,139
Tozef 250,Cefuroxim,375
Tozep,Cefuroxim,375
Tpenatec,Enalapril,582
Trabiotin,Biotin,259
Tracemic,Atenolol,219
Traclor 125,Cefaclor,329
Traclor 375,Cefaclor,329
Tracrium,Atracurium besylat,221
Trafedin,Nifedipin,1056
Traflocin,Ofloxacin,1076
Traforan,Cefotaxim,357
Trafuxim,Cefuroxim,375
Tramacap,Tramadol hydroclorid,1400
Tramadol,Tramadol hydroclorid,1400
Tramadol Capsules BP,Tramadol hydroclorid,1400
Tramadol hydrochloride,Tramadol hydroclorid,1400
Tramadol Stada,Tramadol hydroclorid,1400
Tramadol-hameln,Tramadol hydroclorid,1400
Tramafast,Tramadol hydroclorid,1400
Tramain-100,Tramadol hydroclorid,1400
Tramazac,Tramadol hydroclorid,1400
Tranex,Acid tranexamic,139
Tranexamic,Acid tranexamic,139
Tranexamic acid,Acid tranexamic,139
Tranfaximox,Amoxicilin,188
Tranmix,Acid tranexamic,139
Tranoxel,Acid tranexamic,139
Transamin,Acid tranexamic,139
Tranxene,Clorazepat,434
Tranzil,Acid tranexamic,139
Traphalucin,Fluocinolon acetonid,679
Trasorbid,Isosorbid dinitrat,846
Trastu,Cinarizin,391
Tratim Inj,Cefotiam hydroclorid,360
Travicol,Paracetamol,1118
Travicol PM,Paracetamol,1118
Travicol WB,Paracetamol,1118
Travilan DR. PD. Inj,Ceftriaxon,371
Travimuc,Acetylcystein,111
Travinat,Cefuroxim,375
Treatan,Candesartan cilexetil,304
Trentilin Ampoule,Pentoxifylin,1129
Trepmycin,Streptomycin,1308
Tretinacne,Erythromycin,607
Tretinex,Tretinoin (thuốc bôi),1404
Tretinoin (oral),Tretinoin (uống),1405
Tretinoin (topical),Tretinoin (thuốc bôi),1404
Trexatil,Cefuroxim,375
Trexofin,Ceftriaxon,371
Trexon,Ceftriaxon,371
Triafax,Cefpodoxim proxetil,363
Triafax 100,Cefpodoxim proxetil,363
Triafax 200,Cefpodoxim proxetil,363
Triafax DT,Cefpodoxim proxetil,363
Tria-Flox,Ofloxacin,1076
Triambul,Triamcinolon,1407
Triamcinod,Triamcinolon,1407
Triamcinolon DNP,Triamcinolon,1407
Triamcinolone,Triamcinolon,1407
Triamcinolone Acetonide USP,Triamcinolon,1407
Triamcinolone tablets B.P,Triamcinolon,1407
Triamcinolone Tablets USP,Triamcinolon,1407
Triamed,Trimetazidin,1412
Triamgol,Triamcinolon,1407
Triamlife,Triamcinolon,1407
Triamterene,Triamteren,1409
Triamvirgri,Triamcinolon,1407
Triatec,Ramipril,1230
Triaxo-B,Ceftriaxon,371
Triaxs Inj,Ceftriaxon,371
Tricef 50,Cefixim,351
Tricef 100,Cefixim,351
Tricef 200,Cefixim,351
Tricef 400,Cefixim,351
Tricefin,Ceftriaxon,371
Trichogyl,Metronidazol,979
Trichopol,Metronidazol,979
Tricima 250,Levofloxacin,890
Tridagem,Metronidazol,979
Trifix,Cefixim,351
Triflox,Levofloxacin,890
Trifluridine,Trifluridin,1410
Trifungi,Itraconazol,849
Tri-Genol,Terbinafin hydroclorid,1340
Triglo,Fenofibrat,652
Trihexyphenidyl hydrocholoride,Trihexyphenidyl,1411
Trikapezon,Cefoperazon natri,354
Trikaxon,Ceftriaxon,371
Trikaxon IM,Ceftriaxon,371
Trikazim,Ceftazidim,368
Trileptal,Oxcarbazepin,1096
Trimetazidin 20,Trimetazidin,1412
Trimetazidin hydrochlorid,Trimetazidin,1412
Trimetazidine,Trimetazidin,1412
Trimetazidine SaVi 20,Trimetazidin,1412
Trimetazidine Stada 35 mg MR,Trimetazidin,1412
Trimetazidine winthrop,Trimetazidin,1412
Trimetin Inj.,Netilmicin,1042
Trimetro,Metronidazol,979
bị,rubella,1444
Trinazin,Flunarizin,678
Tripenem 1,Meropenem,950
Triptazidin,Trimetazidin,1412
Triptazidin 20,Trimetazidin,1412
Triptocef,Cefepim,348
Trisova Tab,Trimetazidin,1412
Tritasdine Tab.,Trimetazidin,1412
Trivivac,Vắc xin tam liên sởi - quai bị - rubella,1444
Trixone,Ceftriaxon,371
Trixonex,Ceftriaxon,371
Trizad,Trimetazidin,1412
Trizidim,Ceftazidim,368
Trizox,Ceftriaxon,371
Troken,Clopidogrel,425
Trom 250,Azithromycin,227
Tronanmycin Inj.,Tobramycin,1392
Tronasel,Teicoplanin,1326
Tropicamide,Tropicamid,1417
Trotaxone,Ceftriaxon,371
Troyfos 10,Alendronat natri,157
Troyfos 70,Alendronat natri,157
Troynoxa-60,Enoxaparin natri,586
Troyplatt,Clopidogrel,425
Troypofol,Propofol,1201
Troysar 25,Losartan,927
Troysar 50,Losartan,927
Trozal,Amoxicilin,188
Truefovir,Tenofovir,1335
Trupril,Lisinopril,910
Tryesil,Chymotrypsin,382
Trymo,Bismuth subcitrat,263
Tryox,Chymotrypsin,382
Trypsinmed,Chymotrypsin,382
Tsar Cefotaxim,Cefotaxim,357
Tsar Diclofenac,Diclofenac,515
Tsar Piracetam,Piracetam,1159
Tsar Streptomycin,Streptomycin,1308
Tubenarine,Cycloserin,476
Tuffcef,Ceftriaxon,371
Tuflu,Tobramycin,1392
Tufsine 100,Acetylcystein,111
Tufsine 200,Acetylcystein,111
Tuhara,Piracetam,1159
Tulextam,Triamcinolon,1407
Tunapentin,Gabapentin,705
Tunicapril-2.5,Ramipril,1230
Tunicapril-5,Ramipril,1230
Tupod Dry,Cefpodoxim proxetil,363
Tusalene,Alimemazin,160
Tuspi,Paracetamol,1118
Tuspi 100,Paracetamol,1118
Tuspi 325,Paracetamol,1118
Tusstadt,Diphenhydramin,542
Tuxsinal,Alimemazin,160
TV .Amlodipin,Amlodipin,187
TV .Cefalexin,Cefalexin,334
TV-Ceftri,Ceftriaxon,371
TV .Cefuroxime,Cefuroxim,375
TV .Enalapril 10,Enalapril,582
TV .Fenofibrat,Fenofibrat,652
TV .Ladine,Lamivudin,876
TV .Lansoprazol,Lansoprazol,879
TV .Mephenesin,Mephenesin,944
TV .Sulpiride,Sulpirid,1314
TV .Zantidine,Ranitidin,1232
TV-Cefradin,Cefradin,366
TV-Droxil,Cefadroxil,332
TV-Enalapril,Enalapril,582
TV-Omeprazol,Omeprazol,1080
TV-Pantoprazol,Pantoprazol,1115
TV-Perazol,Cefoperazon natri,354
TV-Zidim,Ceftazidim,368
Twice-cef injection,Cefotaxim,357
Tydol 150,Paracetamol,1118
Tydol 650,Paracetamol,1118
Tydol 80,Paracetamol,1118
Tykacin Inj.,Bupivacain hydroclorid,276
Tylcyst-100,Acetylcystein,111
Tylcyst-200,Acetylcystein,111
Tylenol 8 Hour,Paracetamol,1118
Tymolpain,Flunarizin,678
Typhim Vi,Vắc xin thương hàn,1446
Trimetro,Metronidazol,979
bị,rubella,1444
Trinazin,Flunarizin,678
Tripenem 1,Meropenem,950
Triptazidin,Trimetazidin,1412
Triptazidin 20,Trimetazidin,1412
Triptocef,Cefepim,348
Trisova Tab,Trimetazidin,1412
Tritasdine Tab.,Trimetazidin,1412
Trivivac,Vắc xin tam liên sởi - quai bị - rubella,1444
Trixone,Ceftriaxon,371
Trixonex,Ceftriaxon,371
Trizad,Trimetazidin,1412
Trizidim,Ceftazidim,368
Trizox,Ceftriaxon,371
Troken,Clopidogrel,425
Trom 250,Azithromycin,227
Tronanmycin Inj.,Tobramycin,1392
Tronasel,Teicoplanin,1326
Tropicamide,Tropicamid,1417
Trotaxone,Ceftriaxon,371
Troyfos 10,Alendronat natri,157
Troyfos 70,Alendronat natri,157
Troynoxa-60,Enoxaparin natri,586
Troyplatt,Clopidogrel,425
Troypofol,Propofol,1201
Troysar 25,Losartan,927
Troysar 50,Losartan,927
Trozal,Amoxicilin,188
Truefovir,Tenofovir,1335
Trupril,Lisinopril,910
Tryesil,Chymotrypsin,382
Trymo,Bismuth subcitrat,263
Tryox,Chymotrypsin,382
Trypsinmed,Chymotrypsin,382
Tsar Cefotaxim,Cefotaxim,357
Tsar Diclofenac,Diclofenac,515
Tsar Piracetam,Piracetam,1159
Tsar Streptomycin,Streptomycin,1308
Tubenarine,Cycloserin,476
Tuffcef,Ceftriaxon,371
Tuflu,Tobramycin,1392
Tufsine 100,Acetylcystein,111
Tufsine 200,Acetylcystein,111
Tuhara,Piracetam,1159
Tulextam,Triamcinolon,1407
Tunapentin,Gabapentin,705
Tunicapril-2.5,Ramipril,1230
Tunicapril-5,Ramipril,1230
Tupod Dry,Cefpodoxim proxetil,363
Tusalene,Alimemazin,160
Tuspi,Paracetamol,1118
Tuspi 100,Paracetamol,1118
Tuspi 325,Paracetamol,1118
Tusstadt,Diphenhydramin,542
Tuxsinal,Alimemazin,160
TV .Amlodipin,Amlodipin,187
TV .Cefalexin,Cefalexin,334
TV-Ceftri,Ceftriaxon,371
TV .Cefuroxime,Cefuroxim,375
TV .Enalapril 10,Enalapril,582
TV .Fenofibrat,Fenofibrat,652
TV .Ladine,Lamivudin,876
TV .Lansoprazol,Lansoprazol,879
TV .Mephenesin,Mephenesin,944
TV .Sulpiride,Sulpirid,1314
TV .Zantidine,Ranitidin,1232
TV-Cefradin,Cefradin,366
TV-Droxil,Cefadroxil,332
TV-Enalapril,Enalapril,582
TV-Omeprazol,Omeprazol,1080
TV-Pantoprazol,Pantoprazol,1115
TV-Perazol,Cefoperazon natri,354
TV-Zidim,Ceftazidim,368
Twice-cef injection,Cefotaxim,357
Tydol 150,Paracetamol,1118
Tydol 650,Paracetamol,1118
Tydol 80,Paracetamol,1118
Tykacin Inj.,Bupivacain hydroclorid,276
Tylcyst-100,Acetylcystein,111
Tylcyst-200,Acetylcystein,111
Tylenol 8 Hour,Paracetamol,1118
Tymolpain,Flunarizin,678
Typhim Vi,Vắc xin thương hàn,1446
Typhoid vaccine,Vắc xin thương hàn,1446
Tytdroxil 250,Cefadroxil,332
Tytdroxil 500,Cefadroxil,332
Tytrix-10,Lisinopril,910
Tytrix-5,Lisinopril,910
Tytxym 100,Cefixim,351
Tytxym 200,Cefixim,351
Tzap-15,Mirtazapin,993
Tzap-30,Mirtazapin,993
Uberlacid,Clarithromycin,404
Ucetaxime 1000,Cefotaxim,357
“U-Chu” Loratadine,Loratadin,923
Ucphin,Ceftazidim,368
Ucyrin,Clopidogrel,425
Ufal,Clor - Cefaclor,329
Ufal,Clor 125 - Cefaclor,329
Ufamezol,Omeprazol,1080
Uferoxil-500,Cefadroxil,332
Uhol,Fluconazol,666
Ukcef,Ceftriaxon,371
Ukcin,Ampicilin và sulbactam,201
Ukfix,Cefixim,351
Ukfix cap.,Cefixim,351
Ukisen,Cetirizin hydroclorid,381
Ukxone,Ceftriaxon,371
Ulcemo,Triamcinolon,1407
Ulcersep,Bismuth subcitrat,263
Ulcertil 20,Rabeprazol,1228
Ulcinorm 150,Ranitidin,1232
Ulcinorm 300,Ranitidin,1232
Ulcozol 40,Omeprazol,1080
Ulemac-40,Esomeprazol,619
Ul-Fate,Sucralfat,1310
Ulperaz 20,Rabeprazol,1228
Ulrika,Sucralfat,1310
Ulsek-40,Esomeprazol,619
Ultara,Nizatidin,1063
Ultazidim,Ceftazidim,368
Ulticef,Cefepim,348
Ultigra 120,Fexofenadin hydroclorid,657
Ultimed-10,Metoclopramid,973
Umecard-5,Amlodipin,187
Umecefa-500,Cefalexin,334
Umed-Etham 400,Ethambutol,631
Umefuotin-20,Fluoxetin,684
Umeran 75,Diclofenac,515
Umeran-potas 50,Diclofenac,515
Umetac,150 - Ranitidin,1232
Umetac,300 - Ranitidin,1232
Umexim-200,Cefixim,351
Umidox-100,Doxycyclin,573
Umitol-200,Carbamazepin,316
Unaben,Albendazol,150
Unapiran inj.,Piracetam,1159
Unasyn,Ampicilin và sulbactam,201
Unexon,Cefuroxim,375
Unibraxol Tab,Ambroxol,175
Unicavir,Tenofovir,1335
Unicefaxin,Cefadroxil,332
Uniceffa,Ceftazidim,368
Unicefphaloz,Ceftriaxon,371
Uniceme,Cefepim,348
Unicox,Meloxicam,940
Uniderm,Clobetasol propionat,411
Uniderm,Miconazol,984
Unidikan,Amikacin,176
Unidopa,Dopamin,562
Unifenac Inj.,Diclofenac,515
Unifix-100,Cefixim,351
Unifix-200,Cefixim,351
Uniflurone,Fluorometholon,680
Unigle Tablet,Misoprostol,994
Unilanso,Lansoprazol,879
Unilexacin,Levofloxacin,890
Unilimadin,Clindamycin,407
Uniloxin,Levofloxacin,890
Uniloxin Inj.,Levofloxacin,890
Unimelo,Meloxicam,940
Uninetil,Netilmicin,1042
Union Amikacin Inj.,Amikacin,176
Union Cefradine,Cefradin,366
Union Dexamethasone,Dexamethason,500
Union Vancomycin Inj.,Vancomycin,1455
Unioncerox Inj.,Cefotaxim,357
Uniontopracin inj,Tobramycin,1392
Unipiren,Cefpirom,361
Unironteen,Gabapentin,705
Unisofuxime Inj.,Cefuroxim,375
Unitadin,Loratadin,923
Unitaxime Inj.,Cefotaxim,357
Unitidime Inj,Ceftazidim,368
Unitoba,Tobramycin,1392
Univixin,Clopidogrel,425
Unixicam Inj.,Piroxicam,1160
Unocef,Ceftriaxon,371
Unopime,Cefepim,348
Unsolik Inj,Ondansetron,1082
Upaforu,Flunarizin,678
Upanmox 500,Amoxicilin,188
Uparomax,Amoxicilin,188
Upha,Lexin - Cefalexin,334
Uphabio,Lactobacillus acidophilus,874
Uphatac 150,Ranitidin,1232
Uphatac 300,Ranitidin,1232
Uphatin,Natri picosulfat,1033
Uphaxime,Cefixim,351
UPSA-C,Acid ascorbic,121
Uptaflam,Diclofenac,515
Uranaltine,Ranitidin,1232
Urea,Urê,1418
Urofollitropin,Gonadotropin,756
Urokinase-Green Cross Inj.,Urokinase,1419
Uromitexan,Mesna,954
Uroneg,Acid nalidixic,134
Uroxime-750,Cefuroxim,375
Urselon,Methylprednisolon,969
Usabic 15,Meloxicam,940
"Usabic 7,5",Meloxicam,940
Usacefix 100,Cefixim,351
Usacefix 200,Cefixim,351
Usapira,Piracetam,1159
Usatonic-Natural Vitamin E,Alpha tocopherol,165
Usatrypsin,Chymotrypsin,382
Uscadidroxyl 250,Cefadroxil,332
Usccefaclor 125,Cefaclor,329
Uscmusol,Acetylcystein,111
Uscpherol 400,Alpha tocopherol,165
Utabon Adults,Oxymetazolin hydroclorid,1101
Utabon Pediatric,Oxymetazolin hydroclorid,1101
Utoxol 2,Doxazosin,566
Utralene-100,Sertralin,1283
Utralene-50,Sertralin,1283
Utrazo 10,Rabeprazol,1228
Utrixone-1000,Ceftriaxon,371
Utrogestan,Progesteron,1192
Utrogestan 100,Progesteron,1192
Utrupin 400,Piracetam,1159
Utrupin 800,Piracetam,1159
Uzalk,Povidon iod,1166
Uzix,Amikacin,176
Uznar 100,Celecoxib,379
Uznar 200,Celecoxib,379
V Babylac,Lactobacillus acidophilus,874
V .C.S,Vincristin,1470
Vabiotech-Albumin,Albumin,152
Vắc xin bạch hầu,ho gà - uốn ván hấp phụ,1423
Vắc xin sởi,quai bị - rubella,1444
Vacetam 400,Piracetam,1159
Vacetam 800,Piracetam,1159
Vacidox,Estriol,626
Vaciradin,Cefradin,366
Vaco Loratadine,Loratadin,923
Vaco Loratadine S,Desloratadin,497
VacoCipdex,Ciprofloxacin,394
Vacocipdex 500,Ciprofloxacin,394
Vacodedian,Gliclazid,729
Vacoflox,Ofloxacin,1076
Vacoflox L,Levofloxacin,890
Vacolaren,Trimetazidin,1412
Vacomuc,Acetylcystein,111
Vacomuc 200,Acetylcystein,111
Vacontil,Loperamid,918
Vacoomez,Omeprazol,1080
Vacoomez 40,Omeprazol,1080
Vacosulfene SC,Natri thiosulfat,1034
Vacoverin,Alverin citrat,172
Vadavir,Lamivudin,876
Vadol 100,Paracetamol,1118
Vadol 325,Paracetamol,1118
Vadol 325 caps,Paracetamol,1118
Vadol 5,Paracetamol,1118
Vadol 650,Paracetamol,1118
Vadol A325,Paracetamol,1118
Vadol caplet,Paracetamol,1118
Vadol caps,Paracetamol,1118
Vafocin,Levofloxacin,890
Vageston 200,Progesteron,1192
Upanmox 500,Amoxicilin,188
Uparomax,Amoxicilin,188
Upha,Lexin - Cefalexin,334
Uphabio,Lactobacillus acidophilus,874
Uphatac 150,Ranitidin,1232
Uphatac 300,Ranitidin,1232
Uphatin,Natri picosulfat,1033
Uphaxime,Cefixim,351
UPSA-C,Acid ascorbic,121
Uptaflam,Diclofenac,515
Uranaltine,Ranitidin,1232
Urea,Urê,1418
Urofollitropin,Gonadotropin,756
Urokinase-Green Cross Inj.,Urokinase,1419
Uromitexan,Mesna,954
Uroneg,Acid nalidixic,134
Uroxime-750,Cefuroxim,375
Urselon,Methylprednisolon,969
Usabic 15,Meloxicam,940
"Usabic 7,5",Meloxicam,940
Usacefix 100,Cefixim,351
Usacefix 200,Cefixim,351
Usapira,Piracetam,1159
Usatonic-Natural Vitamin E,Alpha tocopherol,165
Usatrypsin,Chymotrypsin,382
Uscadidroxyl 250,Cefadroxil,332
Usccefaclor 125,Cefaclor,329
Uscmusol,Acetylcystein,111
Uscpherol 400,Alpha tocopherol,165
Utabon Adults,Oxymetazolin hydroclorid,1101
Utabon Pediatric,Oxymetazolin hydroclorid,1101
Utoxol 2,Doxazosin,566
Utralene-100,Sertralin,1283
Utralene-50,Sertralin,1283
Utrazo 10,Rabeprazol,1228
Utrixone-1000,Ceftriaxon,371
Utrogestan,Progesteron,1192
Utrogestan 100,Progesteron,1192
Utrupin 400,Piracetam,1159
Utrupin 800,Piracetam,1159
Uzalk,Povidon iod,1166
Uzix,Amikacin,176
Uznar 100,Celecoxib,379
Uznar 200,Celecoxib,379
V Babylac,Lactobacillus acidophilus,874
V .C.S,Vincristin,1470
Vabiotech-Albumin,Albumin,152
Vắc xin bạch hầu,ho gà - uốn ván hấp phụ,1423
Vắc xin sởi,quai bị - rubella,1444
Vacetam 400,Piracetam,1159
Vacetam 800,Piracetam,1159
Vacidox,Estriol,626
Vaciradin,Cefradin,366
Vaco Loratadine,Loratadin,923
Vaco Loratadine S,Desloratadin,497
VacoCipdex,Ciprofloxacin,394
Vacocipdex 500,Ciprofloxacin,394
Vacodedian,Gliclazid,729
Vacoflox,Ofloxacin,1076
Vacoflox L,Levofloxacin,890
Vacolaren,Trimetazidin,1412
Vacomuc,Acetylcystein,111
Vacomuc 200,Acetylcystein,111
Vacontil,Loperamid,918
Vacoomez,Omeprazol,1080
Vacoomez 40,Omeprazol,1080
Vacosulfene SC,Natri thiosulfat,1034
Vacoverin,Alverin citrat,172
Vadavir,Lamivudin,876
Vadol 100,Paracetamol,1118
Vadol 325,Paracetamol,1118
Vadol 325 caps,Paracetamol,1118
Vadol 5,Paracetamol,1118
Vadol 650,Paracetamol,1118
Vadol A325,Paracetamol,1118
Vadol caplet,Paracetamol,1118
Vadol caps,Paracetamol,1118
Vafocin,Levofloxacin,890
Vageston 200,Progesteron,1192
Vageston-100,Progesteron,1192
Vagonxin,Vancomycin,1455
Vaironat 250,Cefuroxim,375
Vaironat 500,Cefuroxim,375
Vaklonal,Vancomycin,1455
Valdes,Desloratadin,497
Valemy,Ceftriaxon,371
Valiera,Estradiol,622
Valium,Diazepam,513
Valizyg Eczema,Betamethason,252
Valmarrine,Trimetazidin,1412
